year, symbol, revenue, revenuePercentage, ebitda, ebitdaPercentage, ebit, ebitPercentage, depreciation, depreciationPercentage, totalCash, totalCashPercentage, receivables, receivablesPercentage, inventories, inventoriesPercentage, payable, payablePercentage, capitalExpenditure, capitalExpenditurePercentage, price, beta, dilutedSharesOutstanding, costofDebt, taxRate, afterTaxCostOfDebt, riskFreeRate, marketRiskPremium, costOfEquity, totalDebt, totalEquity, totalCapital, debtWeighting, equityWeighting, wacc, taxRateCash, ebiat, ufcf, sumPvUfcf, longTermGrowthRate, terminalValue, presentTerminalValue, enterpriseValue, netDebt, equityValue, equityValuePerShare, freeCashFlowT1
"2019","3380.HK","63753791038","0","17292888198","27.12","17225685448","27.02","67202750","0.10541","44060082076","69.11","5941264418","9.32","95776186779","150.23","26760483584","41.97","-85760869","-0.13452","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","2.88","35429285","11122748356","-63852777375","0","2","232599132206","201831018429","298435654806","85106282165","213329372641","38.6","3211888447",
"2020","3380.HK","78837321428","23.66","19990740905","25.36","19924081632","25.27","66659272","0.08455294","45518966282","57.74","6578665705","8.34","117931456299","149.59","24049887976","30.51","-77833850","-0.09872716","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","2.95","33240446","13301228063","-12213212930","0","2","232599132206","201121998836","297726635212","85106282165","212620353047","38.47","3211888447",
"2021","3380.HK","86837426796","10.15","14983970718","17.26","14920661047","17.18","63309671","0.07290597","41160747559","47.4","62634513087","72.13","129821665927","149.5","24834661712","28.6","-240189662","-0.2766","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","2.97","32551577","10063750621","-57274412643","0","2","232599132206","200899475485","297504111862","85106282165","212397829697","38.43","3211888447",
"2022","3380.HK","46165320541","-46.84","-8781111357","-19.02","-8825736468","-19.12","44625110","0.09666371","15640755323","33.88","49891123558","108.07","164289812555","355.87","25173599157","54.53","-155860692","-0.33761","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","4.05","-11946074","-9880065547","-31377120782","0","2","232599132206","190713309646","287317946023","85106282165","202211663858","36.58","3211888447",
"2023","3380.HK","52314537488","13.32","-6054990017","-11.57","-6114331188","-11.69","59341171","0.11343","14609079414","27.93","1510297249","2.89","166265722049","317.82","33047487799","63.17","-71024844","-0.13577","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","4.05","-26338457","-7724751702","46542370081","0","2","232599132206","190713309646","287317946023","85106282165","202211663858","36.58","3211888447",
"2024","3380.HK","52352408865","0.07239169","4098295451","7.83","4048773847","7.73","49521603","0.09459279","24715856024","47.21","20174431766","38.54","52352408865","100","22907264824","43.76","-102948102","-0.19664","1.04","2.141","5527178000","3.5","-26.34","3.5","3.5","4.72","13.61","99715361579","5748265120","105463626699","94.55","5.45","3.38","20244262","3229129485","88284658679","0","2","232599132206","196973229581","293577865958","85106282165","208471583793","37.72","3211888447",

